iter	MultiClass	Accuracy
0	1.234994859	0.7603864101
1	1.124766295	0.76657984
2	1.039860486	0.768303881
3	0.9729775498	0.770908682
4	0.9172307324	0.7695313232
5	0.8716337434	0.770955531
6	0.8319417608	0.7748346232
7	0.799178281	0.7772239192
8	0.7702330157	0.7785825385
9	0.7466720749	0.7790229185
10	0.7254581082	0.7796881735
11	0.7061094216	0.7818244851
12	0.6900327316	0.7821992767
13	0.675948844	0.7829582295
14	0.662681492	0.7834173491
15	0.652207951	0.7839045781
16	0.6416417749	0.7846354215
17	0.6333791076	0.784925885
18	0.6258626653	0.7853756348
19	0.6192239381	0.7859378221
20	0.6127478242	0.7869310196
21	0.6069588079	0.7878398891
22	0.6015555411	0.7887956074
23	0.5972935439	0.7895170811
24	0.5932843317	0.7898262841
25	0.588621795	0.7909975076
26	0.5847443936	0.791025617
27	0.5818060063	0.791644023
28	0.5786211352	0.7920750333
29	0.576055646	0.7923936061
30	0.5734980497	0.7927215486
31	0.5710075548	0.7932275172
32	0.5694770962	0.7932931057
33	0.5673305057	0.7938459232
34	0.5650055085	0.7941270168
35	0.5632094246	0.7945392875
36	0.5616681396	0.7946329854
37	0.5601626405	0.7950546259
38	0.5590918228	0.7951576935
39	0.5576624445	0.7956261829
40	0.5565158148	0.7959916047
41	0.5554650584	0.796019714
42	0.5542496618	0.7962164796
43	0.5530005249	0.7962164796
44	0.5521188703	0.7966006409
45	0.5510397925	0.7968536252
46	0.5499531091	0.797172198
47	0.5492832489	0.797434552
48	0.5488029935	0.7975095103
49	0.548201363	0.7975376197
50	0.5477121551	0.797743755
51	0.546903209	0.7979311508
52	0.5461901143	0.798099807
53	0.5454220897	0.7981091768
54	0.5447634142	0.7982216142
55	0.5440902712	0.7984652287
56	0.5437297477	0.7986245151
57	0.5433572133	0.7987650619
58	0.5428717994	0.7988868692
59	0.5423932603	0.7989805671
60	0.5419267805	0.7991773326
61	0.5414154895	0.7991960722
62	0.5412060422	0.7992429211
63	0.5405858377	0.7992710305
64	0.540192756	0.799467796
65	0.5391266634	0.7996083429
66	0.5385265638	0.7997020407
67	0.5381388981	0.7997582595
68	0.5375906082	0.7997957386
69	0.5371946841	0.8000299833
70	0.5368205413	0.8001049416
71	0.5364332502	0.8001986395
72	0.5360365164	0.8002267489
73	0.5356767582	0.8004891029
74	0.535408594	0.8006015404
75	0.5352736967	0.8006483893
76	0.5348642756	0.8006764987
77	0.5345122532	0.8008264153
78	0.5340501995	0.8010419204
79	0.5338176697	0.8011449881
80	0.5335135315	0.8012012068
81	0.5331793671	0.8011543579
82	0.5329694163	0.8013417536
83	0.5328464077	0.801416712
84	0.5325911495	0.8015666286
85	0.5322688857	0.8016228473
86	0.5321384871	0.8017821337
87	0.5319340493	0.8017821337
88	0.5316535678	0.8018289826
89	0.531391013	0.802035118
90	0.5310997584	0.8019976388
91	0.5309244393	0.8019507899
92	0.5307370763	0.8021100763
93	0.5304016047	0.8023724303
94	0.5301625418	0.8023255814
95	0.5299588761	0.8025504563
96	0.5298175902	0.8026816333
97	0.5293864643	0.8028877687
98	0.5292129847	0.80283155
99	0.5290246708	0.8028783989
