iter	Passed	Remaining
0	154	15278
1	161	7895
2	168	5432
3	174	4188
4	180	3436
5	187	2932
6	193	2571
7	199	2297
8	206	2087
9	212	1915
10	219	1777
11	226	1661
12	232	1556
13	238	1466
14	244	1387
15	251	1320
16	257	1257
17	263	1201
18	269	1149
19	275	1102
20	281	1059
21	287	1019
22	293	984
23	300	951
24	306	918
25	312	889
26	318	862
27	324	835
28	331	812
29	337	787
30	343	765
31	349	742
32	355	721
33	361	702
34	367	683
35	374	665
36	380	648
37	388	633
38	394	617
39	400	600
40	406	585
41	412	570
42	418	555
43	424	540
44	430	526
45	437	513
46	443	500
47	450	487
48	455	474
49	462	462
50	469	451
51	475	439
52	481	427
53	488	416
54	495	405
55	502	394
56	508	383
57	515	373
58	521	362
59	529	353
60	536	343
61	544	333
62	552	324
63	560	315
64	567	305
65	575	296
66	583	287
67	592	279
68	601	270
69	608	260
70	615	251
71	622	242
72	630	233
73	638	224
74	646	215
75	654	206
76	661	197
77	670	188
78	677	180
79	684	171
80	692	162
81	700	153
82	708	145
83	716	136
84	723	127
85	729	118
86	736	109
87	742	101
88	748	92
89	754	83
90	761	75
91	768	66
92	774	58
93	781	49
94	790	41
95	797	33
96	804	24
97	810	16
98	817	8
99	824	0
